127.0.0.1, 2018-02-16 16:25:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.065247
127.0.0.1, 2018-02-16 16:25:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.060549
127.0.0.1, 2018-02-16 16:26:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063063
127.0.0.1, 2018-02-16 16:26:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.024432
127.0.0.1, 2018-02-16 16:27:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.012699
127.0.0.1, 2018-02-16 16:27:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.207849
127.0.0.1, 2018-02-16 16:28:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050939
127.0.0.1, 2018-02-16 16:28:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.057960
127.0.0.1, 2018-02-16 16:29:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080377
127.0.0.1, 2018-02-16 16:29:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.069926
127.0.0.1, 2018-02-16 16:30:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.062326
127.0.0.1, 2018-02-16 16:30:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.079648
127.0.0.1, 2018-02-16 16:31:03, GET, /admin/default/peek/IMEI/controllers/default.py, HTTP/1.1, 200, 0.155375
127.0.0.1, 2018-02-16 16:31:06, GET, /admin/default/design/IMEI, HTTP/1.1, 200, 1.299323
127.0.0.1, 2018-02-16 16:31:07, GET, /admin/default/site, HTTP/1.1, 200, 0.356113
127.0.0.1, 2018-02-16 16:31:10, GET, /examples/default/index, HTTP/1.1, 200, 0.191173
127.0.0.1, 2018-02-16 16:31:13, GET, /admin/default/site, HTTP/1.1, 200, 0.324539
127.0.0.1, 2018-02-16 16:31:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.459790
127.0.0.1, 2018-02-16 16:31:18, GET, /admin/default/site, HTTP/1.1, 200, 0.289753
127.0.0.1, 2018-02-16 16:32:57, GET, /IMEI/default/index, HTTP/1.1, 200, 0.224231
127.0.0.1, 2018-02-16 16:33:28, GET, /admin/default/site, HTTP/1.1, 200, 0.406717
127.0.0.1, 2018-02-16 16:33:36, POST, /admin/default/site, HTTP/1.1, 303, 0.570722
127.0.0.1, 2018-02-16 16:33:37, GET, /admin/default/design/test1, HTTP/1.1, 200, 1.495999
127.0.0.1, 2018-02-16 16:33:42, GET, /admin/default/site, HTTP/1.1, 200, 0.315687
127.0.0.1, 2018-02-16 16:33:45, GET, /test1/default/index, HTTP/1.1, 200, 1.111757
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004709
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001394
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001358
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/calendar.js, HTTP/1.1, 200, 0.004198
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/web2py.js, HTTP/1.1, 200, 0.000786
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/css/calendar.css, HTTP/1.1, 200, 0.014944
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002209
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003384
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/jquery.js, HTTP/1.1, 200, 0.014119
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/images/favicon.ico, HTTP/1.1, 200, 0.004623
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/images/favicon.png, HTTP/1.1, 200, 0.008310
127.0.0.1, 2018-02-16 16:33:46, GET, /test1/static/js/share.js, HTTP/1.1, 200, 0.018580
127.0.0.1, 2018-02-16 16:34:25, GET, /admin/default/site, HTTP/1.1, 200, 0.394553
